Time,Joint_angle,chamber_1_pressure_bar,chamber_2_pressure_bar
18:04:16,23.306,0.285,0.007
18:04:16,23.326,0.295,0.007
18:04:17,23.338,0.216,0.007
18:04:17,23.345,0.265,0.007
18:04:17,23.348,0.265,0.007
18:04:17,23.35,0.285,0.007
18:04:17,23.351,0.265,0.007
18:04:17,23.352,0.245,0.007
18:04:17,22.866,0.275,0.007
18:04:17,22.608,0.315,0.007
18:04:17,22.928,0.216,0.007
18:04:17,23.111,0.216,0.007
18:04:18,22.746,0.265,0.007
18:04:18,21.9,0.305,0.007
18:04:18,22.067,0.255,0.007
18:04:18,21.515,0.255,0.007
18:04:18,21.668,0.295,0.007
18:04:18,21.291,0.265,0.007
18:04:18,21.076,0.295,0.007
18:04:18,22.054,0.335,0.007
18:04:18,22.612,0.345,0.007
18:04:18,22.937,0.295,0.007
18:04:19,23.116,0.255,0.007
18:04:19,23.221,0.255,0.007
18:04:19,23.279,0.245,0.007
18:04:19,23.311,0.245,0.007
18:04:19,23.329,0.265,0.007
18:04:19,23.339,0.245,0.007
18:04:19,23.345,0.285,0.007
18:04:19,23.349,0.265,0.007
18:04:19,22.242,0.235,0.007
18:04:19,22.73,0.315,0.007
18:04:20,22.997,0.235,0.007
18:04:20,22.676,0.325,0.007
18:04:20,22.488,0.245,0.007
18:04:20,22.859,0.255,0.007
18:04:20,23.071,0.235,0.007
18:04:20,23.195,0.275,0.007
18:04:20,23.265,0.235,0.007
18:04:20,23.303,0.265,0.007
18:04:20,22.845,0.295,0.007
18:04:21,22.442,0.285,0.007
18:04:21,22.842,0.216,0.007
18:04:21,21.935,0.265,0.007
18:04:21,22.065,0.285,0.007
18:04:21,22.139,0.285,0.007
18:04:21,21.56,0.255,0.007
18:04:21,21.876,0.305,0.007
18:04:21,21.893,0.285,0.007
18:04:21,21.894,0.265,0.007
18:04:21,21.42,0.275,0.007
18:04:22,22.25,0.315,0.007
18:04:22,22.724,0.335,0.007
18:04:22,22.994,0.235,0.007
18:04:22,23.148,0.275,0.007
18:04:22,23.235,0.245,0.007
18:04:22,23.287,0.275,0.007
18:04:22,23.316,0.255,0.007
18:04:22,22.71,0.235,0.007
18:04:22,22.507,0.295,0.007
18:04:22,22.408,0.275,0.007
18:04:23,22.33,0.255,0.007
18:04:23,22.779,0.255,0.007
18:04:23,23.027,0.225,0.007
18:04:23,22.517,0.235,0.007
18:04:23,22.876,0.295,0.007
18:04:23,23.087,0.285,0.007
18:04:23,22.101,0.235,0.007
18:04:23,21.538,0.275,0.007
18:04:23,21.217,0.305,0.007
18:04:23,21.035,0.265,0.007
18:04:24,21.562,0.315,0.007
18:04:24,22.331,0.355,0.007
18:04:24,22.779,0.285,0.007
18:04:24,23.028,0.315,0.007
18:04:24,23.17,0.255,0.007
18:04:24,23.251,0.265,0.007
18:04:24,23.295,0.265,0.007
18:04:24,23.321,0.245,0.007
18:04:24,23.335,0.265,0.007
18:04:24,23.343,0.245,0.007
18:04:25,23.347,0.245,0.007
18:04:25,23.35,0.255,0.007
18:04:25,22.864,0.235,0.007
18:04:25,22.425,0.285,0.007
18:04:25,22.171,0.255,0.007
18:04:25,22.679,0.325,0.007
18:04:25,22.975,0.235,0.007
18:04:25,23.142,0.285,0.007
18:04:25,23.233,0.255,0.007
18:04:26,23.284,0.235,0.007
18:04:26,22.692,0.265,0.007
18:04:26,22.329,0.216,0.007
18:04:26,21.649,0.245,0.007
18:04:26,22.381,0.255,0.007
18:04:26,22.319,0.255,0.007
18:04:26,22.142,0.235,0.007
18:04:26,22.202,0.315,0.007
18:04:26,22.079,0.235,0.007
18:04:26,21.513,0.285,0.007
18:04:27,21.833,0.305,0.007
18:04:27,21.389,0.315,0.007
18:04:27,21.78,0.345,0.007
18:04:27,22.46,0.295,0.007
18:04:27,22.852,0.285,0.007
18:04:27,23.067,0.255,0.007
18:04:27,23.19,0.265,0.007
18:04:27,23.261,0.265,0.007
18:04:27,23.301,0.245,0.007
18:04:27,23.324,0.265,0.007
18:04:28,22.704,0.216,0.007
18:04:28,22.989,0.265,0.007
18:04:28,22.495,0.225,0.007
18:04:28,21.758,0.275,0.007
18:04:28,21.987,0.255,0.007
18:04:28,21.956,0.235,0.007
18:04:28,22.098,0.255,0.007
18:04:28,22.641,0.255,0.007
18:04:28,21.829,0.245,0.007
18:04:29,21.373,0.295,0.007
18:04:29,21.743,0.275,0.007
18:04:29,22.449,0.265,0.007
18:04:29,22.837,0.245,0.007
18:04:29,23.059,0.285,0.007
18:04:29,22.717,0.255,0.007
18:04:29,22.505,0.255,0.007
18:04:29,22.245,0.255,0.007
18:04:29,21.602,0.325,0.007
18:04:29,21.254,0.325,0.007
18:04:30,22.175,0.315,0.007
18:04:30,22.685,0.325,0.007
18:04:30,22.978,0.245,0.007
18:04:30,22.039,0.295,0.007
18:04:30,22.124,0.255,0.007
18:04:30,22.192,0.275,0.007
18:04:30,22.705,0.315,0.007
18:04:30,22.362,0.235,0.007
18:04:30,22.166,0.285,0.007
18:04:30,21.562,0.305,0.007
18:04:31,21.877,0.345,0.007
18:04:31,22.516,0.275,0.007
18:04:31,22.873,0.235,0.007
18:04:31,23.079,0.235,0.007
18:04:31,23.199,0.285,0.007
18:04:31,22.613,0.245,0.007
18:04:31,22.933,0.225,0.007
18:04:31,23.117,0.305,0.007
18:04:31,22.597,0.235,0.007
18:04:31,22.3,0.295,0.007
18:04:32,21.638,0.265,0.007
18:04:32,21.917,0.295,0.007
18:04:32,22.547,0.325,0.007
18:04:32,22.896,0.235,0.007
18:04:32,21.998,0.275,0.007
18:04:32,21.933,0.305,0.007
18:04:32,21.432,0.265,0.007
18:04:32,21.15,0.315,0.007
18:04:32,22.124,0.325,0.007
18:04:33,22.652,0.345,0.007
18:04:33,22.953,0.335,0.007
18:04:33,23.128,0.275,0.007
18:04:33,23.225,0.325,0.007
18:04:33,23.28,0.235,0.007
18:04:33,23.312,0.275,0.007
18:04:33,23.33,0.315,0.007
18:04:33,22.718,0.285,0.007
18:04:33,22.343,0.245,0.007
18:04:33,22.311,0.255,0.007
18:04:34,22.279,0.265,0.007
18:04:34,22.272,0.305,0.007
18:04:34,21.622,0.335,0.007
18:04:34,21.911,0.275,0.007
18:04:34,22.048,0.295,0.007
18:04:34,22.604,0.335,0.007
18:04:34,22.926,0.255,0.007
18:04:34,23.113,0.255,0.007
18:04:34,23.216,0.245,0.007
18:04:34,23.275,0.235,0.007
18:04:35,23.309,0.265,0.007
18:04:35,23.328,0.225,0.007
18:04:35,22.868,0.235,0.007
18:04:35,21.976,0.285,0.007
18:04:35,22.106,0.325,0.007
18:04:35,21.529,0.285,0.007
18:04:35,21.212,0.315,0.007
18:04:35,22.131,0.345,0.007
18:04:35,22.667,0.295,0.007
18:04:35,22.97,0.235,0.007
18:04:36,22.485,0.255,0.007
18:04:36,22.39,0.285,0.007
18:04:36,21.688,0.295,0.007
18:04:36,22.408,0.265,0.007
18:04:36,22.811,0.285,0.007
18:04:36,23.049,0.235,0.007
18:04:36,22.693,0.285,0.007
18:04:36,22.975,0.216,0.007
18:04:36,22.009,0.275,0.007
18:04:37,21.475,0.255,0.007
18:04:37,21.174,0.265,0.007
18:04:37,21.008,0.295,0.007
18:04:37,21.566,0.295,0.007
18:04:37,22.334,0.285,0.007
18:04:37,22.771,0.295,0.007
18:04:37,23.027,0.255,0.007
18:04:37,23.171,0.255,0.007
18:04:37,23.249,0.255,0.007
18:04:37,23.294,0.245,0.007
18:04:38,23.32,0.235,0.007
18:04:38,23.334,0.275,0.007
18:04:38,22.721,0.235,0.007
18:04:38,22.345,0.235,0.007
18:04:38,22.137,0.285,0.007
18:04:38,22.038,0.325,0.007
18:04:38,21.502,0.305,0.007
18:04:38,22.314,0.295,0.007
18:04:38,22.76,0.305,0.007
18:04:38,23.015,0.315,0.007
18:04:39,23.163,0.235,0.007
18:04:39,23.245,0.265,0.007
18:04:39,23.291,0.245,0.007
18:04:39,23.318,0.225,0.007
18:04:39,23.333,0.225,0.007
18:04:39,22.871,0.225,0.007
18:04:39,22.611,0.265,0.007
18:04:39,22.311,0.265,0.007
18:04:39,22.758,0.235,0.007
18:04:39,22.392,0.305,0.007
18:04:40,21.704,0.345,0.007
18:04:40,21.936,0.364,0.007
18:04:40,22.562,0.335,0.007
18:04:40,22.909,0.394,0.007
18:04:40,23.101,0.404,0.007
18:04:40,23.696,0.345,0.007
18:04:40,24.428,0.374,0.007
18:04:40,24.841,0.404,0.007
18:04:40,25.071,0.335,0.007
