Time,J0_Ang,J0_fP1,J0_fP2,J1_Ang,J1_fP1,J1_fP2,J2_Ang,J2_fP1,J2_fP2,EE_P1
18:06:15,36.498,0.275,0.047,35.036,0.394,0.057,33.939,0.464,0.017,0
18:06:15,36.498,0.305,0.047,35.036,0.355,0.057,33.369,0.424,0.017,0
18:06:16,36.498,0.295,0.047,35.036,0.394,0.057,33.753,0.493,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.374,0.057,33.565,0.474,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.374,0.057,33.154,0.464,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.424,0.057,33.636,0.484,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.404,0.057,33.593,0.503,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.394,0.057,33.472,0.464,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.364,0.057,33.398,0.444,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.404,0.057,33.769,0.464,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.414,0.057,33.573,0.474,0.017,0
18:06:16,36.498,0.285,0.047,35.036,0.404,0.057,33.861,0.493,0.017,0
18:06:17,36.498,0.285,0.047,35.036,0.394,0.057,33.324,0.493,0.017,0
18:06:17,36.498,0.315,0.047,35.036,0.374,0.057,33.412,0.484,0.017,0
18:06:17,36.498,0.285,0.047,35.036,0.404,0.057,33.358,0.464,0.017,0
18:06:17,36.498,0.295,0.047,35.036,0.364,0.057,33.026,0.474,0.017,0
18:06:17,36.498,0.295,0.047,35.036,0.355,0.057,32.843,0.434,0.017,0
18:06:17,36.498,0.285,0.047,35.036,0.374,0.057,32.737,0.503,0.017,0
18:06:17,36.498,0.285,0.047,35.036,0.374,0.057,32.678,0.484,0.017,0
18:06:17,36.498,0.285,0.047,35.036,0.414,0.057,32.644,0.484,0.017,0
18:06:17,36.498,0.295,0.047,35.036,0.404,0.057,33.326,0.493,0.017,0
18:06:17,36.498,0.285,0.047,35.036,0.394,0.057,33.015,0.503,0.017,0
18:06:18,36.498,0.285,0.047,35.036,0.384,0.057,33.135,0.434,0.017,0
18:06:18,36.498,0.285,0.047,35.036,0.404,0.057,33.311,0.454,0.017,0
18:06:18,36.498,0.305,0.047,35.036,0.394,0.057,33.31,0.474,0.017,0
18:06:18,36.498,0.285,0.047,35.036,0.355,0.057,32.999,0.484,0.017,0
18:06:18,36.498,0.295,0.047,35.036,0.374,0.057,32.828,0.444,0.017,0
18:06:18,36.498,0.285,0.047,35.036,0.364,0.057,32.728,0.503,0.017,0
18:06:18,36.498,0.285,0.047,35.036,0.394,0.057,32.976,0.484,0.017,0
18:06:18,36.498,0.285,0.047,35.036,0.414,0.057,32.81,0.484,0.017,0
18:06:18,36.498,0.295,0.047,35.036,0.394,0.057,32.721,0.503,0.017,0
18:06:18,36.498,0.295,0.047,35.036,0.374,0.057,32.669,0.513,0.017,0
18:06:19,36.498,0.295,0.047,35.036,0.404,0.057,32.639,0.444,0.017,0
18:06:19,36.498,0.315,0.047,35.036,0.364,0.057,33.048,0.474,0.017,0
18:06:19,36.498,0.285,0.047,35.036,0.355,0.057,32.857,0.464,0.017,0
18:06:19,36.498,0.285,0.047,35.036,0.364,0.057,32.748,0.493,0.017,0
18:06:19,36.498,0.285,0.047,35.036,0.394,0.057,32.685,0.434,0.017,0
18:06:19,36.498,0.295,0.047,35.036,0.384,0.057,32.648,0.503,0.017,0
18:06:19,36.498,0.305,0.047,35.036,0.414,0.057,32.627,0.464,0.017,0
18:06:19,36.498,0.285,0.047,35.036,0.394,0.057,33.322,0.493,0.017,0
18:06:19,36.498,0.285,0.047,35.036,0.384,0.057,33.316,0.503,0.017,0
18:06:19,36.498,0.295,0.047,35.036,0.374,0.057,33.009,0.513,0.017,0
18:06:20,36.498,0.295,0.047,35.036,0.414,0.057,33.132,0.444,0.017,0
18:06:20,36.498,0.295,0.047,35.036,0.355,0.057,33.318,0.474,0.017,0
18:06:20,36.498,0.325,0.047,35.036,0.364,0.057,33.409,0.464,0.017,0
18:06:20,36.498,0.285,0.047,35.036,0.384,0.057,33.366,0.474,0.017,0
18:06:20,36.498,0.285,0.047,35.036,0.404,0.057,33.74,0.434,0.017,0
18:06:20,36.498,0.285,0.047,35.036,0.414,0.057,33.65,0.434,0.017,0
18:06:20,36.498,0.295,0.047,35.036,0.414,0.057,33.504,0.454,0.017,0
18:06:20,36.498,0.315,0.047,35.036,0.384,0.057,33.515,0.484,0.017,0
18:06:20,36.498,0.295,0.047,35.036,0.394,0.057,33.835,0.484,0.017,0
18:06:20,36.498,0.285,0.047,35.036,0.414,0.057,33.707,0.434,0.017,0
18:06:21,36.498,0.285,0.047,35.036,0.414,0.057,33.532,0.424,0.017,0
18:06:21,36.498,0.285,0.047,35.036,0.394,0.057,33.437,0.434,0.017,0
18:06:21,36.498,0.295,0.047,35.036,0.374,0.057,33.372,0.454,0.017,0
18:06:21,36.498,0.295,0.047,35.036,0.404,0.057,33.747,0.474,0.017,0
18:06:21,36.498,0.285,0.047,35.036,0.414,0.057,33.959,0.474,0.017,0
18:06:21,36.498,0.325,0.047,35.036,0.414,0.057,34.081,0.424,0.017,0
18:06:21,36.498,0.285,0.047,35.036,0.404,0.057,33.849,0.434,0.017,0
18:06:21,36.498,0.285,0.047,35.036,0.384,0.057,33.715,0.454,0.017,0
18:06:21,36.498,0.285,0.047,35.036,0.364,0.057,33.537,0.474,0.017,0
18:06:22,36.498,0.285,0.047,35.036,0.414,0.057,33.126,0.484,0.017,0
18:06:22,36.498,0.295,0.047,35.036,0.404,0.057,33.301,0.424,0.017,0
18:06:22,36.498,0.305,0.047,35.036,0.394,0.057,33,0.434,0.017,0
18:06:22,36.498,0.285,0.047,35.036,0.384,0.057,33.244,0.464,0.017,0
18:06:22,36.498,0.285,0.047,35.036,0.404,0.057,33.373,0.464,0.017,0
18:06:22,36.498,0.285,0.047,35.036,0.414,0.057,33.744,0.484,0.017,0
